id	corrected_species
267409015	
268932648	
270562867	
270752108	
271324644	
271746876	
271751271	
272779792	
280885138	
281882580	
283031570	
283702053	
150503889	
52442121	megalista
107923424	megalista
260309082	megalista
272870909	megalista
273670942	megalista
5214350	minuta
9658656	minuta
18711686	minuta
38112570	minuta
67107940	minuta
106109056	minuta
193841406	minuta
194958983	minuta
198028261	minuta
200773518	minuta
200976143	minuta
201343321	minuta
217167652	minuta
226371262	minuta
253653008	minuta
255758170	minuta
257767155	minuta
258690948	minuta
259018596	minuta
262458663	minuta
266075190	minuta
268296332	minuta
271078248	minuta
1307782	
1366880	
3009904	
5005609	
8967552	
9709063	
20412741	
22802465	
26430147	
30405204	
35730674	
36874181	
38140023	
39065082	
42380151	
46312131	
50360738	
51048772	
51070829	
65176559	
70653448	
71475188	
71530157	
72430286	
72511491	
72584547	
98585760	
102732648	
105021621	
106792660	
119200305	
133270690	
143629715	
147321460	
147375466	
148370553	
148679418	
148952782	
150561135	
151805539	
152815374	
156397535	
161063255	
161761100	
162055748	
192759829	
192873384	
193440546	
194958326	
195887963	
196093206	
197480206	
197511697	
198555225	
198702191	
199528944	
200975164	
201415724	
202022150	
202363602	
202625152	
203909364	
204309634	
205811685	
206071337	
207336722	
217857141	
218597625	
223916563	
230693145	
243547647	
243919922	
249863547	
249950573	
253317407	
253384750	
253787889	
254015664	
254673906	
255458241	
256212658	
256214090	
256217654	
256467648	
256533823	
256608832	
256705465	
257218440	
257664794	
258013277	
258085610	
258540739	
259492380	
260758408	
260918882	
261420913	
261421836	
261498527	
263476732	
263539125	
265260903	
265379876	
267468620	
272820712	
272826963	
273484200	
37358637	
193941247	
198795899	
257095385	
259139194	
269408760	
271823203	
4944245	
7866529	
18942869	
36280546	minuta
104707475	
108282916	
177732945	
192210700	
122395978	
257257305	
145652002	utriculus
68978819	utriculus
260978327	
72557670	utriculus
165794282	
260871405	
72709065	megalista
157629835	megalista
162501592	megalista
123207996	megalista
123247001	megalista
221248075	megalista
20164497	megalista
60000282	megalista
