tree	tip
CO1	YPM-IZ-111013
CO1	YPM-IZ-111014
CO1	YPM-IZ-111016
CO1	YPM-IZ-111017
CO1	YPM-IZ-111018
CO1	YPM-IZ-111156
CO1	YPM-IZ-111158
CO1	YPM-IZ-111159
CO1	YPM-IZ-111160
CO1	YPM-IZ-111163
CO1	YPM-IZ-111207
CO1	YPM-IZ-111208
CO1	YPM-IZ-111209
CO1	YPM-IZ-111210
CO1	YPM-IZ-111241
CO1	YPM-IZ-111243
CO1	YPM-IZ-111495
CO1	YPM-IZ-111513
CO1	YPM-IZ-111514
CO1	YPM-IZ-111517
CO1	YPM-IZ-111518
CO1	YPM-IZ-111519
CO1	YPM-IZ-111520
CO1	YPM-IZ-111521
CO1	YPM-IZ-111529
CO1	YPM-IZ-111530
CO1	YPM-IZ-111539
CO1	YPM-IZ-111547
CO1	YPM-IZ-111839
CO1	YPM-IZ-111840
ITS	AB377546.1
ITS	FJ847271.1
ITS	FJ847272.1
ITS	FJ847273.1
ITS	FJ847274.1
ITS	FJ847275.1
ITS	FJ847276.1
ITS	FJ847277.1
ITS	FJ847278.1
ITS	FJ847279.1
ITS	FJ847280.1
ITS	FJ847281.1
ITS	FJ847282.1
ITS	FJ847283.1
ITS	FJ847284.1
ITS	FJ847285.1
ITS	FJ847286.1
ITS	FJ847287.1
ITS	FJ847288.1
ITS	FJ847289.1
ITS	FJ847290.1
ITS	FJ847291.1
ITS	FJ847292.1
ITS	FJ847293.1
ITS	FJ847294.1
ITS	FJ847295.1
ITS	FJ847296.1
ITS	FJ847297.1
ITS	FJ847298.1
ITS	FJ847299.1
ITS	FJ847300.1
ITS	FJ847301.1
ITS	FJ847302.1
ITS	FJ847303.1
ITS	FJ847304.1
ITS	FJ847305.1
ITS	FJ847306.1
ITS	FJ847307.1
ITS	FJ847308.1
ITS	FJ847309.1
ITS	FJ847310.1
ITS	FJ847311.1
ITS	FJ847312.1
ITS	FJ847313.1
ITS	FJ847314.1
ITS	FJ847315.1
ITS	FJ847316.1
ITS	FJ847317.1
ITS	FJ847318.1
ITS	FJ847319.1
ITS	FJ847320.1
ITS	FJ847321.1
ITS	FJ847322.1
ITS	FM-16644
ITS	NIWA-173304
ITS	NIWA-173305
ITS	OA-190531-1
ITS	OA-Bluebottle
ITS	TMAG-K5632
ITS	TMAG-K5633
ITS	TMAG-K5634
ITS	TMAG-K5635
ITS	TMAG-K5636
ITS	WAM-Z88480
ITS	WAM-Z97900
ITS	WAM-Z97901
ITS	WAM-Z97902
ITS	WAM-Z97903
ITS	WAM-Z97906
ITS	WAM-Z97907
ITS	WAM-Z97908
ITS	WAM-Z97910
ITS	WAM-Z97911
ITS	WAM-Z97914
ITS	WAM-Z97916
ITS	WAM-Z97917
ITS	WAM-Z97920
ITS	WAM-Z97921
ITS	WAM-Z97923
ITS	YPM-IZ-104460
ITS	YPM-IZ-104461
ITS	YPM-IZ-104464
ITS	YPM-IZ-104465
ITS	YPM-IZ-106919
ITS	YPM-IZ-106920
ITS	YPM-IZ-106923
ITS	YPM-IZ-106935
ITS	YPM-IZ-106936
ITS	YPM-IZ-106937
ITS	YPM-IZ-106941
ITS	YPM-IZ-106943
ITS	YPM-IZ-106954
ITS	YPM-IZ-106958
ITS	YPM-IZ-110251
ITS	YPM-IZ-110254
ITS	YPM-IZ-110264
ITS	YPM-IZ-110268
ITS	YPM-IZ-110269
ITS	YPM-IZ-110276
ITS	YPM-IZ-110277
ITS	YPM-IZ-110278
ITS	YPM-IZ-110433
ITS	YPM-IZ-110434
ITS	YPM-IZ-110436
ITS	YPM-IZ-110438
ITS	YPM-IZ-110443
ITS	YPM-IZ-110460
ITS	YPM-IZ-110467
ITS	YPM-IZ-110468
ITS	YPM-IZ-110469
ITS	YPM-IZ-110470
ITS	YPM-IZ-110471
ITS	YPM-IZ-110473
ITS	YPM-IZ-110474
ITS	YPM-IZ-110480
ITS	YPM-IZ-110515
ITS	YPM-IZ-110520
ITS	YPM-IZ-110526
ITS	YPM-IZ-110556
ITS	YPM-IZ-110557
ITS	YPM-IZ-110558
ITS	YPM-IZ-110566
ITS	YPM-IZ-110569
ITS	YPM-IZ-110600
ITS	YPM-IZ-110602
ITS	YPM-IZ-110605
ITS	YPM-IZ-110612
ITS	YPM-IZ-110613
ITS	YPM-IZ-110616
ITS	YPM-IZ-110631
ITS	YPM-IZ-110633
ITS	YPM-IZ-110667
ITS	YPM-IZ-110694
ITS	YPM-IZ-110716
ITS	YPM-IZ-110726
ITS	YPM-IZ-110738
ITS	YPM-IZ-110777
ITS	YPM-IZ-110780
ITS	YPM-IZ-110785
ITS	YPM-IZ-110786
ITS	YPM-IZ-110828
ITS	YPM-IZ-110829
ITS	YPM-IZ-110830
ITS	YPM-IZ-110842
ITS	YPM-IZ-110843
ITS	YPM-IZ-110844
ITS	YPM-IZ-110845
ITS	YPM-IZ-110846
ITS	YPM-IZ-110847
ITS	YPM-IZ-110876
ITS	YPM-IZ-110877
ITS	YPM-IZ-110878
ITS	YPM-IZ-110880
ITS	YPM-IZ-110881
ITS	YPM-IZ-110882
ITS	YPM-IZ-110883
ITS	YPM-IZ-110906
ITS	YPM-IZ-110907
ITS	YPM-IZ-110925
ITS	YPM-IZ-110926
ITS	YPM-IZ-110930
ITS	YPM-IZ-110931
ITS	YPM-IZ-110933
ITS	YPM-IZ-110937
ITS	YPM-IZ-110938
ITS	YPM-IZ-110943
ITS	YPM-IZ-110972
ITS	YPM-IZ-111006
ITS	YPM-IZ-111007
ITS	YPM-IZ-111008
ITS	YPM-IZ-111009
ITS	YPM-IZ-111010
ITS	YPM-IZ-111012
ITS	YPM-IZ-111013
ITS	YPM-IZ-111014
ITS	YPM-IZ-111016
ITS	YPM-IZ-111017
ITS	YPM-IZ-111018
ITS	YPM-IZ-111156
ITS	YPM-IZ-111157
ITS	YPM-IZ-111158
ITS	YPM-IZ-111159
ITS	YPM-IZ-111160
ITS	YPM-IZ-111163
ITS	YPM-IZ-111207
ITS	YPM-IZ-111208
ITS	YPM-IZ-111209
ITS	YPM-IZ-111210
ITS	YPM-IZ-111241
ITS	YPM-IZ-111243
ITS	YPM-IZ-111495
ITS	YPM-IZ-111513
ITS	YPM-IZ-111514
ITS	YPM-IZ-111517
ITS	YPM-IZ-111518
ITS	YPM-IZ-111519
ITS	YPM-IZ-111520
ITS	YPM-IZ-111521
ITS	YPM-IZ-111529
ITS	YPM-IZ-111530
ITS	YPM-IZ-111539
ITS	YPM-IZ-111547
ITS	YPM-IZ-111839
ITS	YPM-IZ-111840
mitogenome_submitted	FM-16644
mitogenome_submitted	KT809328.1
mitogenome_submitted	KT809335.1
mitogenome_submitted	LN901209.1
mitogenome_submitted	NC_080941.1
mitogenome_submitted	NC_080942.1
mitogenome_submitted	NIWA-173304
mitogenome_submitted	NIWA-173305
mitogenome_submitted	OA-190531-1
mitogenome_submitted	OA-Bluebottle
mitogenome_submitted	OQ957199.1
mitogenome_submitted	OQ957206.1
mitogenome_submitted	OQ957220.1
mitogenome_submitted	TMAG-K5632
mitogenome_submitted	TMAG-K5633
mitogenome_submitted	TMAG-K5634
mitogenome_submitted	TMAG-K5635
mitogenome_submitted	TMAG-K5636
mitogenome_submitted	WAM-Z88480
mitogenome_submitted	WAM-Z97900
mitogenome_submitted	WAM-Z97901
mitogenome_submitted	WAM-Z97902
mitogenome_submitted	WAM-Z97903
mitogenome_submitted	WAM-Z97906
mitogenome_submitted	WAM-Z97907
mitogenome_submitted	WAM-Z97908
mitogenome_submitted	WAM-Z97910
mitogenome_submitted	WAM-Z97911
mitogenome_submitted	WAM-Z97914
mitogenome_submitted	WAM-Z97916
mitogenome_submitted	WAM-Z97917
mitogenome_submitted	WAM-Z97920
mitogenome_submitted	WAM-Z97921
mitogenome_submitted	WAM-Z97923
mitogenome_submitted	YPM-IZ-104460
mitogenome_submitted	YPM-IZ-104461
mitogenome_submitted	YPM-IZ-104464
mitogenome_submitted	YPM-IZ-104465
mitogenome_submitted	YPM-IZ-106919
mitogenome_submitted	YPM-IZ-106920
mitogenome_submitted	YPM-IZ-106923
mitogenome_submitted	YPM-IZ-106935
mitogenome_submitted	YPM-IZ-106936
mitogenome_submitted	YPM-IZ-106937
mitogenome_submitted	YPM-IZ-106941
mitogenome_submitted	YPM-IZ-106943
mitogenome_submitted	YPM-IZ-106954
mitogenome_submitted	YPM-IZ-106958
mitogenome_submitted	YPM-IZ-110251
mitogenome_submitted	YPM-IZ-110254
mitogenome_submitted	YPM-IZ-110264
mitogenome_submitted	YPM-IZ-110268
mitogenome_submitted	YPM-IZ-110269
mitogenome_submitted	YPM-IZ-110276
mitogenome_submitted	YPM-IZ-110277
mitogenome_submitted	YPM-IZ-110278
mitogenome_submitted	YPM-IZ-110433
mitogenome_submitted	YPM-IZ-110434
mitogenome_submitted	YPM-IZ-110436
mitogenome_submitted	YPM-IZ-110438
mitogenome_submitted	YPM-IZ-110443
mitogenome_submitted	YPM-IZ-110460
mitogenome_submitted	YPM-IZ-110467
mitogenome_submitted	YPM-IZ-110468
mitogenome_submitted	YPM-IZ-110469
mitogenome_submitted	YPM-IZ-110470
mitogenome_submitted	YPM-IZ-110471
mitogenome_submitted	YPM-IZ-110473
mitogenome_submitted	YPM-IZ-110474
mitogenome_submitted	YPM-IZ-110480
mitogenome_submitted	YPM-IZ-110515
mitogenome_submitted	YPM-IZ-110520
mitogenome_submitted	YPM-IZ-110526
mitogenome_submitted	YPM-IZ-110556
mitogenome_submitted	YPM-IZ-110557
mitogenome_submitted	YPM-IZ-110558
mitogenome_submitted	YPM-IZ-110566
mitogenome_submitted	YPM-IZ-110569
mitogenome_submitted	YPM-IZ-110600
mitogenome_submitted	YPM-IZ-110602
mitogenome_submitted	YPM-IZ-110605
mitogenome_submitted	YPM-IZ-110612
mitogenome_submitted	YPM-IZ-110613
mitogenome_submitted	YPM-IZ-110616
